epoch,loss,lr,val_loss
0,0.001354286097921431,0.001,0.08618725836277008
1,0.0004337139253038913,0.001,0.02780194580554962
2,0.00029485192499123514,0.001,0.007148456294089556
3,0.00023717814474366605,0.001,0.003664317075163126
4,0.00019888262613676488,0.001,0.0007139726658351719
5,0.00019228308519814163,0.001,0.0010059181367978454
6,0.000169298960827291,0.001,0.00046607659896835685
7,0.00015299650840461254,0.001,0.0007478668121621013
8,0.00014091872435528785,0.001,0.0006652278825640678
9,0.00013982562813907862,0.001,0.000526547315530479
10,0.00017227984790224582,0.001,0.0010739235440269113
11,0.00013830320676788688,0.001,0.0008641430758871138
12,9.896148549159989e-05,0.000100000005,0.00017313040734734386
13,9.028927888721228e-05,0.000100000005,0.00010492179717402905
14,8.59729916555807e-05,0.000100000005,0.00010719039710238576
15,8.43346570036374e-05,0.000100000005,0.00011061386612709612
16,7.823375926818699e-05,0.000100000005,0.00011540360719664022
17,7.571109745185822e-05,0.000100000005,0.00010922391811618581
18,7.101694791344926e-05,1.0000001e-05,9.784882422536612e-05
19,6.974838470341638e-05,1.0000001e-05,9.472366218687966e-05
20,6.993854185566306e-05,1.0000001e-05,9.244744433090091e-05
21,6.756049697287381e-05,1.0000001e-05,9.137473534792662e-05
22,6.837859109509736e-05,1.0000001e-05,9.098663576878607e-05
23,6.829359335824847e-05,1.0000001e-06,8.918064850149676e-05
24,6.876742554595694e-05,1.0000001e-06,8.88560971361585e-05
25,6.780987314414233e-05,1.0000001e-06,8.874899504007772e-05
26,6.732551264576614e-05,1.0000001e-06,8.881471148924902e-05
27,6.80510129313916e-05,1.0000001e-06,8.874507329892367e-05
28,6.831459904788062e-05,1.0000001e-07,8.868685108609498e-05
29,6.81053425068967e-05,1.0000001e-07,8.868859003996477e-05
30,6.72528040013276e-05,1.0000001e-07,8.872971375240013e-05
31,6.700941594317555e-05,1.0000001e-07,8.87863352545537e-05
32,6.71469751978293e-05,1.0000001e-07,8.882825204636902e-05
33,6.791124906158075e-05,1e-07,8.887791045708582e-05
34,6.82216850691475e-05,1e-07,8.893109043128788e-05
35,6.807615864090621e-05,1e-07,8.90000956133008e-05
36,6.774865323677659e-05,1e-07,8.903978596208617e-05
37,6.807978934375569e-05,1e-07,8.902375702746212e-05
38,6.750776810804382e-05,1e-07,8.903906564228237e-05
39,6.727487925672904e-05,1e-07,8.903694106265903e-05
40,6.76472918712534e-05,1e-07,8.904440619517118e-05
41,6.753452908014879e-05,1e-07,8.906450239010155e-05
42,6.80317243677564e-05,1e-07,8.90561132109724e-05
43,6.750897591700777e-05,1e-07,8.907013398129493e-05
44,6.696033960906789e-05,1e-07,8.908575546229258e-05
45,6.78475116728805e-05,1e-07,8.90913070179522e-05
46,6.719427619827911e-05,1e-07,8.909996540751308e-05
47,6.741681863786653e-05,1e-07,8.9096232841257e-05
48,6.74509719829075e-05,1e-07,8.910353062674403e-05
